cooling_technology_int,cooling_technology,material_density_kg_kW,average_lifetime_yr,SEER,refrigerant_density_kg_kW,refrigerant_leakage_rate_relative
1,ASHP,32.9,12.5,8.9,0.3,0.01
2,GSHP,16.7,12.5,11.5,0.3,0.01
3,WSHP,14.2,12.5,13.9,0.2,0.01
4,chiller,10.6,20.0,6.5,0.1,0.02
5,AC_split,11.4,12.5,8.9,0.2,0.01
6,AC_mobile,10.2,12.0,4.1,0.1,0.06
