building_type_int,building_type,f_window,f_wall,ventilation_rate_pp_m3_h,pressure_drop_Pa,infiltration_ACH,int_heat_gain_appliances_W_m2,cooling_technology_share_ASHP,cooling_technology_share_GSHP,cooling_technology_share_WSHP,cooling_technology_share_chiller,cooling_technology_share_AC_split,cooling_technology_share_AC_mobile
1,New highrise residential,0.15,0.85,25,800,0.10,5,0.26,0.09,0.12,0.48,0.00,0.00
2,Old highrise residential,0.15,0.85,0,0,0.50,5,0.16,0.06,0.07,0.00,0.00,0.30
3,New lowrise residential,0.15,0.85,0,0,0.10,5,0.16,0.06,0.07,0.00,0.14,0.16
4,Old lowrise residential,0.15,0.85,0,0,0.50,5,0.16,0.06,0.07,0.00,0.14,0.16
5,New highrise office,0.25,0.75,25,800,0.10,15,0.19,0.07,0.04,0.70,0.00,0.00
6,Old highrise office,0.25,0.75,0,0,0.50,15,0.19,0.07,0.04,0.70,0.00,0.00
7,New lowrise office,0.25,0.75,25,200,0.10,15,0.07,0.15,0.07,0.00,0.33,0.37
8,Old lowrise office,0.25,0.75,0,0,0.50,15,0.07,0.15,0.07,0.00,0.33,0.37
